name,threads,outer,inner,N,nnz,diarow_sd,diarow_mflops,diarow_sum,bdiarow_sd,bdiarow_mflops,bdiarow_sum,diannz_sd,diannz_mflops,diannz_sum,bdiannz_sd,bdiannz_mflops,bdiannz_sum
parabolic_fem,5,30,25,525825,3674625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
utm1700b,5,30,5000,1700,21509,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
utm300,5,30,25000,300,3155,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
utm3060,5,30,5000,3060,42211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
utm5940,5,30,2500,5940,83842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Baumann,5,30,500,112211,748331,651.504249423,23756.5396825,63537,1974.21459012,24036.3276231,63537,1068.36362354,24113.7808808,63537,1296.01400645,24191.7349138,63537
chem_master1,5,30,500,40401,201201,1340.79465192,28074.5581395,1968,1784.21139989,26590.4405286,1968,1812.11058941,27561.7808219,1968,3807.11899467,20958.4375,1968
G3_circuit,5,30,25,1585478,7660826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
G2_circuit,5,30,500,150102,726674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
invextr1_new,5,30,25,30412,1793881,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
mixtank_new,5,30,25,29957,1990919,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dubcova1,5,30,500,16129,253009,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dubcova2,5,30,25,65025,1030225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dubcova3,5,30,25,146689,3636643,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b9_c6,5,30,500,14454,147972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b162_c1,5,30,500,10798,608540,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b9_c1,5,30,5000,2454,25032,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b39_c30,5,30,25,60098,1079986,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b39_c7,5,30,500,28216,730080,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b300_c1,5,30,25,29214,4400122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b300_c1,5,30,25,14538,1474325,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b162_c3,5,30,500,15374,610299,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_FS_b39_c30,5,30,25,120216,3121160,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b300_c2,5,30,25,28338,2943887,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b2383,5,30,25,38120,16171169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TSOPF_RS_b39_c7,5,30,500,14098,252446,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
